kiwibrent,50,7731,14646.9,347809
Ktjohnson994,50,9050,10411.9,137049
makotsumiyo,50,14535,15161,390352
mappylamu,50,66419,22905.6,607891
maron24an,50,54164,40301.1,1238269
masahiro749,50,5869,15857,248358
Me11owPePper,50,16834,19321,373772
Moti1219,50,12013,11318.1,294870
MrWigglesWI,50,12793,25465.5,364862
NaritaBrian1994,50,32527,45492.6,682721
nejiPonn,50,3922,22553.3,247190
Noacoco46529,50,91680,13100.1,249415
nomchankaboo,50,27248,12183.2,341932
P00BEARY,50,11725,23200.9,267770
Patchillkun,50,46652,27151.9,829231
pikeluuchi,50,5275,24168.6,377565
PoPs22,50,16047,12791.2,276150
Random392464098,50,2966,13780.2,132431
RareBird88,50,7490,41265,154953
REDKARASU,50,13019,30029.8,270518
Rizzinator717,50,15005,16326.2,393366
rNurseOlive,50,10441,8344.3,126484
RowaldRull,50,15203,104500.9,345492
RYO19790506,50,26403,34459.2,300315
Safety5,50,29033,53568.2,280183
Seachan0704,50,46148,88044.8,478109
sira0402,50,13079,22237.7,322245
sosatoru,50,7830,13494.5,160005
StormyMondays,50,6061,15268.3,297342
sunrise080808,50,16376,9883.6,237215
Sunset201701,50,52586,60534.2,358830
taketyo884,50,35897,28397.5,588133
TBC0523,50,24296,13256.5,270230
TETSUKAGE149,50,23061,8483.2,430684
ThankyouM39,50,8250,95125.5,485340
Toshi7921,50,23597,11495.6,306606
TrainerDanny21,50,17190,14879,488165
tsuka1212,50,5928,8882.8,160165
Ttttt343,50,5548,11280.5,334378
UMITOww,50,11771,25913.7,451998
uriel346674,50,5460,5745.8,171978
Vildroten,50,106159,28460.2,761901
Willdenner,50,19561,104085.6,221444
xKatyvonParry,50,20040,15327.6,337193
Xmasrose,50,11755,19117.3,362527
Yaassuuuu,50,18202,46310.5,664388
yo23k,50,41194,44208.1,381469
yuCamo8,50,7683,8665.1,226974
yuki313yuki,50,13784,23066.3,576029
